Pair,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Significant,N
FinBERT_Score vs EPS_Surprise_Pct,-0.0224,0.9321,0.451,0.0692,False,17
LM_Score vs EPS_Surprise_Pct,0.0119,0.9639,0.4142,0.0983,False,17
"FinBERT_Score vs Market_CAR_[-1,+3]",-0.0919,0.6621,0.0492,0.8152,False,25
"LM_Score vs Market_CAR_[-1,+3]",-0.1136,0.5888,0.0,1.0,False,25
"FinBERT_Score vs Market_CAR_[-1,+5]",-0.0111,0.9579,0.1223,0.5603,False,25
"LM_Score vs Market_CAR_[-1,+5]",0.005,0.981,0.1085,0.6058,False,25
"FinBERT_Score vs Market_CAR_[-1,+10]",0.0713,0.7349,0.0738,0.7257,False,25
"LM_Score vs Market_CAR_[-1,+10]",0.0401,0.8492,0.1046,0.6187,False,25
"FinBERT_Score vs Market_CAR_[-1,+30]",0.0967,0.6455,-0.03,0.8868,False,25
"LM_Score vs Market_CAR_[-1,+30]",-0.011,0.9583,-0.0431,0.838,False,25
"FinBERT_Score vs Market_CAR_[0,+60]",0.091,0.6653,0.0131,0.9505,False,25
"LM_Score vs Market_CAR_[0,+60]",0.0338,0.8724,0.0446,0.8323,False,25
