Ticker,Year,FinBERT_Score,FinBERT_Positive_Ratio,FinBERT_Negative_Ratio,FinBERT_Avg_Positive,FinBERT_Avg_Negative,FinBERT_Avg_Neutral,FinBERT_Dominant,FinBERT_Chunks,LM_Score,LM_Positive_Pct,LM_Negative_Pct,LM_Uncertainty_Pct,LM_Litigious_Pct,Filing_Date,EPS_Actual,EPS_Estimated,EPS_Surprise_Pct,"Market_CAR_[-1,+3]","Market_CAR_[-1,+5]","Market_CAR_[-1,+10]","Market_CAR_[-1,+30]","Market_CAR_[0,+60]"
C,2022,-0.289744,0.125,0.875,0.136937,0.426681,0.436383,neutral,8,-0.013713,0.5079,1.8791,1.4728,0.6094,2022-02-28,1.63,1.43,13.986013986013983,-0.0406778085246642,-0.0211347576533158,-0.0677517185724229,-0.1528945543640436,0.014548976934425
C,2023,-0.006676,0.416667,0.583333,0.029242,0.035918,0.93484,neutral,12,-0.00974,0.4496,1.4236,0.7742,0.7992,2023-02-27,1.52,1.22,24.59016393442624,0.0307621906052753,0.0297611910172102,0.0046017672464437,0.0292141859047622,0.0096582890273479
C,2024,-0.035505,0.5,0.5,0.028286,0.06379,0.907924,neutral,12,-0.008706,0.4975,1.3682,0.7463,0.7214,2024-02-23,1.52,1.32,15.151515151515149,-0.0216893701983895,-0.0101050783852491,0.0158337161051698,0.059226209849428,0.0952130680919011
C,2025,-0.160189,0.267241,0.732759,0.103063,0.263252,0.633685,neutral,116,-0.018778,0.8385,2.7162,2.9142,1.4586,2025-02-21,2.26,1.93,17.098445595854912,-0.0173996829282079,-0.0324613857692212,-0.0895874759284083,-0.1485590743987538,-0.057387635435366
C,2026,-0.121779,0.262136,0.737864,0.093328,0.215108,0.691564,neutral,206,-0.017247,0.5919,2.3165,2.8847,1.0141,2026-02-20,,,,-0.0051025633958735,-0.0325805307782612,-0.0477643017603393,0.0542758371799227,0.0694719906364408
GS,2022,-0.013939,0.572727,0.427273,0.084793,0.098732,0.816475,neutral,110,-0.008903,0.5954,1.4857,2.806,0.6588,2022-02-25,8.25,7.52,9.707446808510644,-0.010123009212121,-0.0080525211248845,0.0059640107932144,-0.0538722462249398,0.036909289203978
GS,2023,-0.05343,0.482143,0.517857,0.069142,0.122572,0.808287,neutral,112,-0.009855,0.5105,1.496,2.7763,0.5678,2023-02-24,5.47,5.51,-0.7259528130671513,-0.039953732876819,-0.0208127921278691,-0.0164360314663936,-0.0039920590519742,-0.0210183278438036
GS,2024,-0.084899,0.469565,0.530435,0.044022,0.128921,0.827056,neutral,115,-0.009299,0.4821,1.4119,2.8897,0.5664,2024-02-23,9.02,7.31,23.392612859097127,0.0075922795638465,-0.003764350224155,-0.0148564614281818,0.0137833724890992,0.148362006064583
GS,2025,-0.011633,0.534483,0.465517,0.074464,0.086097,0.83944,neutral,116,-0.009221,0.4768,1.3989,2.8684,0.5475,2025-02-27,12.25,11.09,10.459873760144276,-0.036340047913084,-0.0476332233068069,-0.0788109234686768,-0.1093477748157685,0.0068894486350997
GS,2026,-0.036424,0.504132,0.495868,0.070613,0.107038,0.822349,neutral,121,-0.008975,0.4601,1.3577,2.8367,0.5537,2026-02-25,,,,-0.0462152166303467,-0.0439548377933646,-0.0559241932636129,-0.0051629143943363,0.0757058785270796
HSBC,2022,-0.166596,0.174603,0.825397,0.10124,0.267836,0.630923,neutral,63,-0.010408,0.7041,1.7448,0.6796,0.4102,2022-02-23,,,,-0.0559373159858837,-0.0573602972410471,-0.0798435480913417,-0.0169257295952603,-0.0138172675573716
HSBC,2023,-0.019743,0.503546,0.496454,0.098733,0.118476,0.782791,neutral,141,-0.002776,0.9238,1.2014,0.7418,0.851,2023-02-22,,,,-0.0274326363481106,-0.0165518400978329,0.0051023865368543,0.0173871816307856,0.1198458020840858
HSBC,2024,-0.097354,0.322034,0.677966,0.117986,0.21534,0.666675,neutral,118,-0.009764,0.7106,1.687,0.6183,1.0687,2024-02-22,,,,0.0162496141236372,0.0350012569098948,0.0366410932009091,0.0864032521794055,0.209582584918541
